期号,实际命中数,top9,实际开奖
2026147,4,"6,9,10,14,53,57,66,75,77","3,6,7,10,11,12,14,17,22,24,28,35,37,38,45,50,52,67,77,79"
2026146,5,"2,14,16,33,39,54,66,75,77","4,7,9,10,14,27,38,39,40,43,44,45,48,50,54,56,66,70,77,78"
2026145,3,"11,30,33,53,57,66,75,76,77","2,4,5,15,19,24,27,29,32,33,36,38,50,52,60,64,66,69,74,75"
2026144,1,"2,8,9,11,31,39,47,51,77","3,4,12,24,27,30,34,50,53,55,61,63,65,69,70,72,74,75,76,77"
2026143,3,"8,11,17,19,53,60,63,75,77","2,3,7,11,14,23,30,31,34,38,39,41,47,51,52,60,63,68,72,78"
2026142,2,"6,9,11,27,32,53,57,66,77","2,4,10,14,18,21,26,35,39,40,41,48,50,53,57,59,65,73,75,76"
2026141,4,"9,11,12,23,31,32,57,66,77","6,9,10,20,21,28,33,38,48,49,52,54,57,64,66,70,72,74,75,77"
2026140,3,"9,10,11,12,14,19,27,32,39","1,3,11,12,16,18,23,24,31,35,37,39,40,54,61,64,65,69,71,79"
2026139,2,"12,19,32,33,53,57,63,77,78","2,6,7,9,10,11,14,19,22,23,26,30,36,40,41,44,47,51,53,60"
2026138,2,"9,12,19,27,38,46,66,76,78","2,6,8,10,11,14,19,22,26,30,31,33,47,53,56,62,63,73,76,77"
2026137,3,"32,33,36,39,43,46,47,53,61","4,8,9,13,14,15,16,17,18,23,28,39,47,48,53,56,63,66,77,79"
2026136,1,"27,28,38,39,43,47,53,57,61","2,6,11,14,17,20,24,33,35,40,42,45,49,50,51,52,57,60,64,75"
2026135,1,"32,33,36,41,43,53,57,66,76","8,13,20,23,24,27,29,37,42,48,49,50,51,57,59,60,64,65,67,77"
2026134,2,"9,18,23,26,31,61,66,76,78","6,12,19,20,21,22,27,30,31,32,34,42,51,54,57,66,70,71,72,75"
2026133,2,"33,38,39,41,43,54,66,76,78","1,6,9,16,18,19,21,26,27,29,55,58,59,60,62,66,73,74,76,80"
2026132,2,"23,27,33,43,54,57,61,66,77","8,9,11,12,13,16,18,19,32,37,38,40,42,53,56,57,63,68,77,78"
2026131,2,"23,27,31,33,40,52,53,61,66","7,19,25,28,32,33,36,38,43,44,46,50,55,61,65,70,71,72,73,79"
2026130,1,"33,37,43,50,58,61,66,76,78","2,7,8,10,18,21,22,26,28,30,31,32,33,39,41,49,52,62,64,67"
2026129,2,"18,43,46,47,50,53,58,61,76","3,8,9,12,17,25,28,29,33,36,38,43,49,59,60,62,63,66,76,78"
2026128,0,"50,57,58,61,66,68,77,78,80","4,5,11,13,17,19,26,28,38,39,41,43,45,46,47,51,53,60,75,76"
2026127,2,"6,18,23,36,43,57,61,66,75","1,5,10,14,15,27,31,33,34,47,51,54,57,63,65,66,69,73,77,78"
2026126,2,"36,46,48,58,61,66,68,75,76","1,4,10,11,12,16,22,23,29,36,39,43,52,57,59,60,61,62,64,74"
2026125,2,"12,33,46,48,61,66,70,75,77","9,30,38,39,40,41,43,44,45,46,47,51,53,54,56,58,60,67,76,77"
2026124,0,"12,44,48,53,69,70,75,77,80","3,7,8,9,14,23,31,34,35,37,38,40,43,47,61,63,66,71,76,78"
2026123,2,"26,29,44,46,48,57,75,77,80","11,14,17,21,23,24,30,34,41,43,50,51,52,58,62,71,74,75,78,80"
2026122,4,"2,26,33,36,48,53,58,61,77","1,7,9,15,19,26,27,28,30,36,45,50,56,57,58,61,63,66,76,78"
2026121,1,"5,11,38,44,45,58,67,70,77","2,16,18,19,26,32,33,38,39,42,49,50,52,54,60,61,63,65,72,78"
2026120,3,"5,37,38,45,46,48,67,69,77","2,3,6,10,16,21,35,37,43,45,52,54,57,63,67,68,70,76,78,80"
2026119,2,"5,36,37,38,39,46,61,71,75","3,12,14,15,17,22,23,27,31,39,43,46,48,53,54,64,66,69,77,78"
2026118,3,"18,26,37,38,45,46,57,75,77","2,7,8,9,12,17,18,33,36,39,44,46,61,66,68,69,71,72,75,80"
2026117,3,"18,21,29,36,39,41,61,64,71","4,15,19,20,24,26,29,39,42,44,45,48,49,55,56,60,61,66,75,77"
2026116,1,"13,26,33,36,37,38,57,71,76","3,11,16,22,27,31,32,36,40,47,48,58,62,65,67,69,70,74,75,80"
2026115,2,"18,33,37,39,45,46,53,57,71","5,6,7,12,14,25,26,30,31,33,36,43,44,48,51,57,70,75,77,80"
2026114,5,"11,33,34,35,39,42,57,71,77","1,5,11,12,20,24,25,32,33,37,39,45,46,52,53,54,56,57,69,77"
2026113,2,"35,42,44,45,57,66,67,71,77","2,5,6,9,17,19,20,26,29,31,32,33,37,40,44,53,58,62,71,78"
2026112,2,"2,34,42,44,46,57,67,69,77","10,12,23,27,36,38,41,45,47,50,53,58,61,62,65,67,69,72,75,76"
2026111,1,"29,39,46,57,67,69,71,76,77","1,9,10,13,18,19,21,23,25,32,38,41,45,46,54,59,61,64,68,79"
2026110,2,"17,20,34,35,39,57,67,69,77","10,13,14,26,27,29,30,39,43,46,47,51,53,55,57,58,68,71,75,76"
2026109,3,"5,15,17,33,53,63,64,67,77","5,11,18,23,24,25,30,33,36,37,38,39,40,57,61,64,66,70,71,76"
2026108,2,"7,15,17,34,39,64,67,77,80","3,4,16,18,27,29,32,33,41,45,46,47,49,50,53,61,66,74,77,80"
2026107,2,"12,17,39,42,63,64,67,69,77","2,8,16,21,24,28,29,34,37,39,44,51,53,54,55,57,66,69,75,79"
2026106,3,"7,11,14,17,34,67,69,72,77","10,11,12,18,27,28,30,32,38,42,46,53,62,65,67,69,71,73,75,76"
2026105,1,"5,7,20,39,44,53,64,69,77","2,6,12,13,14,18,29,31,33,34,35,36,50,67,68,70,71,72,76,77"
2026104,2,"7,8,14,20,24,26,34,44,69","5,18,20,31,35,41,42,44,46,48,49,52,55,57,63,64,70,72,75,79"
2026103,0,"7,8,17,26,33,39,44,62,69","4,6,11,13,15,20,25,27,30,34,35,45,48,52,54,57,60,64,67,80"
2026102,1,"2,4,8,24,33,44,51,54,57","6,9,15,17,21,27,28,33,37,39,40,41,42,46,47,64,70,77,78,79"
2026101,1,"2,5,7,8,17,38,44,51,57","4,6,11,18,21,23,32,38,39,40,45,46,50,52,55,59,61,63,64,67"
2026100,1,"11,14,24,33,38,51,57,59,71","3,5,7,12,15,17,20,29,36,37,38,39,42,48,50,58,64,67,68,77"
2026099,0,"7,38,51,57,59,67,69,71,77","11,13,14,15,18,23,30,34,36,37,39,53,56,58,63,64,70,72,73,80"
2026098,0,"2,3,4,38,44,54,57,59,71","6,7,15,17,18,19,21,23,26,29,34,36,49,52,65,67,69,72,77,80"
2026097,2,"3,4,11,14,24,33,44,51,59","4,5,8,12,14,16,17,35,37,43,46,54,56,58,62,66,68,69,70,74"
2026096,3,"1,4,14,44,45,46,57,69,71","1,4,8,9,10,13,15,17,20,24,26,33,34,35,36,41,44,51,53,60"
2026095,2,"3,14,44,49,50,57,59,66,71","2,4,5,12,20,22,25,26,29,30,31,44,45,48,56,69,70,71,72,73"
2026094,2,"1,24,46,50,57,59,63,71,80","4,7,11,13,18,19,26,31,35,38,42,43,51,53,54,57,59,67,69,74"
2026093,0,"1,7,13,44,61,63,66,71,77","2,16,21,24,26,36,37,38,40,42,45,48,51,53,57,58,59,62,69,80"
2026092,4,"3,7,11,14,38,57,61,63,66","2,3,8,14,17,20,24,30,33,35,38,44,45,56,59,61,67,71,76,77"
2026091,1,"2,11,34,38,61,63,66,71,77","2,5,9,10,12,17,20,21,25,26,28,39,44,51,53,54,57,60,65,67"
2026090,5,"1,2,4,61,63,66,69,71,77","1,4,8,10,20,22,33,35,36,44,49,51,53,59,62,65,69,71,77,78"
2026089,4,"11,14,38,46,54,56,66,71,75","3,12,29,30,31,33,42,45,50,54,56,57,62,63,66,68,71,74,77,80"
2026088,4,"2,14,24,46,63,66,71,74,75","8,9,13,14,18,22,25,33,39,40,44,46,49,55,64,66,68,71,77,80"
2026087,4,"1,3,32,52,62,63,66,71,73","2,5,7,10,14,23,24,32,37,41,42,44,45,46,48,63,64,71,73,76"
2026086,3,"1,14,24,32,48,52,61,66,69","1,3,5,7,11,15,17,24,28,29,34,39,45,47,53,57,63,66,72,79"
2026085,4,"4,38,52,56,61,71,73,74,75","1,3,4,11,13,14,26,31,33,38,40,50,56,58,61,63,65,66,69,79"
2026084,1,"1,3,4,21,24,50,52,73,75","5,8,17,33,34,35,38,42,43,46,49,50,57,59,60,66,71,72,74,80"
2026083,4,"2,3,4,14,21,71,73,74,75","1,2,7,13,14,18,23,27,28,38,41,48,51,54,63,65,68,71,75,78"
2026082,2,"1,2,3,11,21,32,40,54,75","2,5,11,16,23,25,26,29,33,39,57,62,64,68,69,74,76,77,79,80"
2026081,2,"8,14,22,24,32,47,48,52,71","1,2,8,9,11,12,20,32,34,39,42,43,53,54,55,58,59,63,66,77"
2026080,3,"2,4,8,14,48,54,56,74,75","7,11,14,24,25,27,32,33,34,46,49,52,54,56,59,60,61,66,69,72"
2026079,2,"2,4,6,8,14,48,52,74,75","4,10,12,23,38,39,41,44,45,50,51,55,57,60,64,66,68,73,75,76"
2026078,2,"2,21,42,44,50,62,65,74,75","1,6,7,11,15,21,24,27,31,32,34,38,46,49,52,60,67,71,73,74"
2026077,4,"8,14,19,21,42,48,52,74,75","3,6,19,21,24,32,36,37,44,45,51,55,58,61,62,66,71,73,74,75"
2026076,1,"1,2,3,4,14,19,42,63,80","6,10,12,14,16,21,24,38,39,40,46,48,52,58,61,69,71,74,75,77"
2026075,3,"1,2,4,8,10,14,50,69,75","1,4,17,18,21,22,23,24,25,30,41,47,48,50,54,55,56,57,62,78"
2026074,2,"2,3,4,8,63,65,67,75,80","2,5,7,8,11,13,15,16,20,31,32,33,41,43,52,62,70,71,72,73"
2026073,2,"1,4,35,39,43,48,49,50,75","2,3,6,8,9,20,26,27,29,35,52,57,64,67,73,74,75,76,79,80"
2026072,1,"2,3,8,16,43,48,49,60,63","1,5,19,22,28,30,34,37,38,40,41,44,48,50,51,54,59,74,75,80"
2026071,3,"2,3,4,8,19,41,49,75,79","2,3,8,12,13,14,15,21,25,29,42,44,45,46,47,48,52,58,63,66"
2026070,2,"2,8,14,16,32,38,48,65,79","1,3,4,7,11,19,25,27,37,38,42,45,46,48,54,56,69,72,76,77"
2026069,0,"2,3,4,8,38,63,75,76,79","1,5,6,9,15,19,21,25,31,40,47,50,54,56,59,62,65,67,72,80"
2026068,3,"13,16,22,25,28,38,43,49,75","1,4,10,18,19,20,22,31,35,36,44,49,50,52,61,67,68,74,75,78"
2026067,2,"2,3,5,8,17,19,28,39,69","10,11,12,13,14,16,19,23,24,26,39,42,43,50,53,61,62,66,75,80"
2026066,6,"3,8,17,49,50,51,60,63,69","2,3,4,6,8,17,20,27,30,37,41,43,54,56,57,58,60,63,65,69"
2026065,1,"17,38,49,51,69,74,75,79,80","1,2,4,7,9,11,14,16,24,32,34,37,48,49,50,52,53,59,63,70"
2026064,2,"8,28,41,49,51,65,75,79,80","13,16,21,25,31,32,38,45,49,57,58,59,61,63,67,69,72,75,77,78"
2026063,3,"3,8,12,41,49,69,75,79,80","2,4,8,9,14,30,33,35,37,38,40,47,52,59,62,65,73,75,76,79"
2026062,2,"8,12,16,35,41,43,49,51,75","3,4,5,7,14,16,22,27,38,43,46,48,56,58,68,71,73,77,79,80"
2026061,1,"16,19,21,23,25,27,49,64,69","4,5,6,7,13,18,20,21,28,32,34,39,40,42,44,47,50,56,75,76"
2026060,2,"2,23,25,26,41,50,51,64,69","2,3,4,14,15,19,25,28,32,38,39,40,42,45,48,60,61,63,65,67"
2026059,3,"2,19,21,28,41,49,69,74,80","3,10,18,22,24,26,28,30,37,41,46,47,48,51,57,63,69,70,75,76"
2026058,3,"28,31,34,41,49,50,62,79,80","3,5,8,17,19,20,21,27,29,42,47,49,51,53,62,66,69,71,74,80"
2026057,2,"14,25,39,41,65,72,74,75,80","4,8,12,13,17,21,26,27,30,31,35,38,43,50,52,57,60,72,79,80"
2026056,3,"19,28,31,49,50,62,64,69,75","1,8,14,16,25,39,40,48,50,51,56,58,65,67,69,71,73,74,75,79"
2026055,2,"16,17,25,50,62,64,65,69,80","3,4,8,10,12,16,19,22,24,26,31,49,54,55,58,63,64,67,75,79"
2026054,2,"3,8,14,16,25,35,41,62,64","2,8,11,14,15,18,21,23,39,40,42,43,44,51,55,60,65,71,79,80"
2026053,3,"3,19,26,34,35,50,55,64,74","2,3,7,14,20,22,23,25,26,27,28,30,35,36,38,41,44,63,67,68"
2026052,2,"8,19,26,34,35,41,62,64,76","2,6,11,13,19,23,27,29,32,34,40,45,49,51,56,59,66,69,74,80"
2026051,1,"15,16,49,50,52,62,64,65,68","6,7,9,20,21,28,31,32,33,34,36,39,41,47,56,62,67,70,71,77"
2026050,2,"2,8,9,13,34,35,62,68,69","12,14,25,34,39,41,43,45,46,49,51,57,58,60,62,64,65,66,72,74"
2026049,2,"3,8,13,16,25,36,50,68,76","1,6,7,8,11,17,28,35,36,39,41,42,44,48,53,60,61,69,72,75"
2026048,2,"16,17,24,34,36,62,64,73,74","3,4,10,12,16,17,21,25,33,35,41,43,49,50,60,65,69,75,76,80"
2026047,3,"8,13,16,17,24,25,51,62,68","5,14,16,21,22,28,31,34,37,40,50,51,55,62,63,64,74,75,77,80"
2026046,2,"17,27,36,62,64,68,69,73,76","1,10,13,14,15,23,25,26,28,48,49,50,52,54,59,61,64,69,70,79"
2026045,1,"4,8,11,16,24,50,62,67,73","2,3,5,9,11,12,13,18,19,25,35,38,45,57,61,65,68,70,72,76"
2026044,0,"11,27,28,29,34,36,62,64,67","1,3,8,9,13,16,19,23,33,43,47,49,52,53,55,60,68,74,76,79"
2026043,4,"19,33,34,36,58,62,64,73,80","1,6,12,15,16,19,22,23,25,28,32,34,35,36,41,48,56,64,65,77"
2026042,0,"19,24,26,28,29,33,36,58,80","2,8,14,15,16,17,25,34,37,41,47,52,56,60,62,63,72,74,77,79"
2026041,0,"32,33,34,43,50,62,65,73,76","8,12,17,18,23,24,25,26,27,28,30,31,38,41,46,56,66,68,69,79"
2026040,3,"16,19,27,28,34,43,62,73,80","12,13,16,24,31,32,35,37,41,43,48,50,51,55,64,66,68,73,76,79"
2026039,4,"4,22,34,37,43,52,55,73,80","3,5,13,17,22,27,36,38,40,43,49,50,51,61,62,64,68,73,78,80"
2026038,2,"16,22,27,34,36,52,59,62,73","3,4,5,6,7,9,11,20,21,26,36,44,46,47,54,68,73,74,75,80"
2026037,1,"28,32,33,37,52,61,62,73,76","6,7,8,17,24,25,27,28,29,34,40,41,49,53,57,58,60,67,69,72"
2026036,2,"28,32,51,52,61,62,65,73,76","3,11,19,27,32,33,35,38,43,46,49,50,63,64,66,67,74,75,76,77"
2026035,2,"4,18,28,51,52,60,61,62,73","5,7,18,19,23,24,29,32,34,47,48,53,57,62,64,65,70,72,77,80"
2026034,1,"11,14,16,18,32,34,51,52,76","4,6,19,25,26,29,30,31,32,43,44,48,50,62,65,66,68,71,72,80"
2026033,1,"21,28,32,51,60,61,62,64,71","2,3,8,10,16,19,20,21,29,30,33,34,36,48,53,54,55,58,59,76"
2026032,1,"11,21,28,51,58,60,61,64,73","2,4,9,22,24,26,27,28,31,34,36,39,43,44,53,55,59,62,65,70"
2026031,0,"3,9,11,18,21,51,61,71,73","8,10,15,22,25,26,35,42,43,45,47,52,56,57,62,63,72,76,78,80"
2026030,2,"3,13,21,33,51,52,63,73,75","2,8,12,13,14,16,23,31,37,39,44,46,50,54,55,59,61,69,70,73"
2026029,2,"21,28,51,52,55,62,63,68,73","1,4,11,15,19,27,29,31,33,39,43,45,52,58,65,67,69,73,75,77"
2026028,3,"9,18,24,28,51,61,63,65,78","9,11,14,16,17,20,28,30,32,33,46,51,54,57,58,62,66,68,71,74"
2026027,2,"21,24,28,32,33,35,51,63,73","1,4,7,14,18,26,28,37,38,49,51,58,61,62,64,67,71,75,76,79"
2026026,3,"14,21,24,32,33,51,53,61,78","2,6,14,17,21,22,26,34,35,36,48,51,52,58,60,62,71,73,75,76"
2026025,0,"24,28,30,35,62,63,68,73,78","2,3,4,6,8,13,17,20,21,25,26,29,34,40,47,49,51,58,59,69"
2026024,3,"14,28,38,41,52,55,68,73,78","3,8,16,19,22,25,28,35,36,37,49,50,52,54,57,58,64,67,71,73"
2026023,1,"12,18,33,52,60,62,64,68,72","9,13,17,27,28,31,36,39,42,45,50,55,57,61,67,68,73,74,75,79"
2026022,4,"11,14,21,28,50,60,61,64,72","2,9,10,11,15,16,17,18,28,33,35,43,54,55,60,61,63,65,68,73"
2026021,0,"22,28,32,52,62,64,72,78,80","4,5,6,9,10,11,14,19,21,31,34,43,45,48,51,53,56,60,65,70"
2026020,4,"24,25,52,60,62,64,68,78,80","7,13,18,22,24,30,32,33,37,43,47,48,52,62,63,67,69,73,78,79"
2026019,3,"14,16,20,25,30,32,55,64,76","16,20,21,23,24,37,48,51,52,53,54,59,60,62,66,68,75,76,77,78"
2026018,2,"14,16,30,32,52,61,62,64,80","11,12,14,15,18,21,22,23,29,32,33,35,40,41,55,65,69,74,75,78"
2026017,3,"20,25,30,60,62,64,68,76,80","11,15,28,33,36,37,38,46,47,50,51,52,61,62,63,67,68,71,73,80"
2026016,3,"3,14,32,42,56,60,61,62,80","4,19,24,27,28,35,36,38,39,45,50,56,58,59,60,61,64,66,73,78"
2026015,3,"8,14,32,39,52,62,64,76,80","2,8,9,11,14,17,18,19,27,29,31,34,36,41,55,60,64,70,72,79"
2026014,2,"3,8,16,24,32,62,63,76,80","6,12,13,14,18,24,28,29,30,34,38,43,49,52,59,60,64,74,78,80"
2026013,3,"2,14,16,24,32,33,54,62,76","1,5,9,10,11,12,14,15,16,22,28,32,37,41,44,64,72,77,78,80"
2026012,2,"14,24,32,54,61,62,63,68,80","4,11,12,15,16,20,21,26,27,28,30,32,33,41,53,60,62,64,65,76"
2026011,3,"14,25,32,35,41,54,62,76,80","1,3,12,16,22,25,27,30,32,49,52,56,59,61,62,63,66,68,69,79"
2026010,2,"32,35,41,54,61,62,63,72,76","6,7,13,16,19,27,33,37,39,42,43,44,55,59,62,64,65,67,76,80"
2026009,0,"6,14,22,24,33,62,63,71,72","3,4,8,17,18,31,34,37,42,46,47,55,56,61,65,70,74,75,76,80"
2026008,2,"2,14,22,25,32,62,63,71,72","2,4,15,20,21,23,24,34,47,50,51,52,57,58,60,61,66,71,77,79"
2026007,4,"6,11,20,32,39,40,62,71,72","3,13,15,18,20,21,25,32,42,43,45,54,57,62,63,68,72,74,76,80"
2026006,0,"11,14,20,24,25,33,40,41,63","3,5,7,9,19,28,30,32,34,38,49,52,56,61,62,66,73,76,78,79"
2026005,2,"11,20,22,24,25,30,32,33,40","7,8,9,14,18,21,24,26,33,35,41,43,49,54,56,59,60,63,68,76"
2026004,1,"22,25,28,30,32,33,41,48,72","4,5,9,13,16,21,23,24,32,35,37,38,45,50,52,54,55,62,63,64"
2026003,4,"10,20,22,25,26,28,30,40,72","2,7,14,16,22,25,28,31,39,42,47,53,54,55,61,68,69,72,73,78"
2026002,4,"10,22,25,26,30,32,35,41,72","3,8,10,17,22,24,25,28,39,51,61,62,67,69,70,71,72,73,74,80"
2026001,4,"10,11,25,26,33,41,48,71,73","2,5,6,11,24,25,27,32,34,35,39,41,44,51,54,62,70,71,72,75"
